58,new,The Bends ,0.222615,2,"Thu, 06 Aug 2015 17:43:21 "
59,new,Mango ,0.222923,3,"Tue, 04 Aug 2015 10:38:32 "
60,?126,Allmendinger ,0.222935,38,"Thu, 06 Aug 2015 09:36:29 "
61,?17,D & A ,0.222978,54,"Fri, 07 Aug 2015 09:54:08 (-7.1d) "
,,,,,
62,?116,Charles ,0.223125,19,"Thu, 06 Aug 2015 06:13:45 (-3.9d) "
63,?16,Andrey Akhmetov (I want to PZAD) ,0.223456,52,"Fri, 07 Aug 2015 07:52:12 (-8.8d) "
64,?10,Mahi Karim ,0.223517,27,"Fri, 07 Aug 2015 22:37:40 (-6.9d) "
65,?115,D Lyzer ,0.223526,22,"Thu, 06 Aug 2015 22:32:26 "
66,?15,Ali ,0.223535,138,"Thu, 06 Aug 2015 14:56:54 (-41.8h) "
67,?12,Victor Mayrink ,0.223637,51,"Fri, 07 Aug 2015 16:39:34 (-39.8h) "
68,new,dune_dweller ,0.223824,4,"Fri, 07 Aug 2015 18:22:38 "
69,new,Younes ,0.223892,17,"Fri, 07 Aug 2015 20:16:23 (-3.2d) "
70,?18,snow & carl ,0.224079,31,"Tue, 28 Jul 2015 17:57:44 (-41.6h) "
,,,,,
71,?18,VijaySathish ,0.224153,62,"Tue, 28 Jul 2015 17:48:48 "
72,?2,NxGTR ,0.2246,94,"Thu, 06 Aug 2015 07:54:07 (-26.1h) "
73,?17,wlpdlut ,0.224706,65,"Mon, 20 Jul 2015 12:26:32 (-7d) "
74,?182,gooron ,0.224768,34,"Mon, 03 Aug 2015 09:23:26 "
75,?160,SreekanthJujare ,0.224793,33,"Fri, 07 Aug 2015 13:28:15 (-2.7d) "
76,?19,Mechanical Engineers.. ,0.224884,28,"Sun, 02 Aug 2015 14:30:20 (-2.2d) "
,,,,,
77,?157,azml ,0.225114,81,"Fri, 07 Aug 2015 10:46:03 (-3.7d) "
78,?19,omgponies ,0.225116,52,"Fri, 07 Aug 2015 19:51:19 (-9.3d) "
79,?19,Denis Tsitko (I want to PZAD) ,0.22518,74,"Wed, 29 Jul 2015 15:21:27 (-7.1d) "
80,?18,Maryam Teimoori ,0.225252,5,"Mon, 27 Jul 2015 23:13:02 (-0.4h) "
81,?18,DataGeek ,0.225381,35,"Mon, 27 Jul 2015 06:08:34 (-2.4d) "
82,?18,AlexanderWalker ,0.225406,35,"Sat, 01 Aug 2015 03:02:23 (-7.6d) "
83,?17,Jun Hao Ho ,0.225502,31,"Tue, 21 Jul 2015 16:34:04 (-4.4d) "
84,?17,sravn ,0.225937,109,"Mon, 03 Aug 2015 06:32:38 (-8.9d) "
85,?17,Josh Stone ,0.226019,20,"Thu, 16 Jul 2015 03:46:53 (-9.9d) "
86,?17,??????? ,0.22602,99,"Tue, 04 Aug 2015 06:17:27 (-0.1h) "
87,?17,You have no chance to survive make your time. ,0.226054,65,"Fri, 07 Aug 2015 17:37:03 "
88,new,maglas ,0.22611,9,"Fri, 07 Aug 2015 09:16:50 (-0.5h) "
89,?18,themasterofrobots ,0.226133,68,"Tue, 04 Aug 2015 17:25:36 (-4.8d) "
90,?18,Phillip Chilton Adkins ,0.226231,3,"Tue, 14 Jul 2015 03:14:32 "
91,?17,Wei Wu ,0.226301,80,"Fri, 07 Aug 2015 23:08:46 (-24.5h) "
92,?17,corbetew ,0.226379,13,"Sat, 01 Aug 2015 00:34:58 (-23.5h) "
93,?17,Patrick Chan ,0.226395,83,"Tue, 04 Aug 2015 10:44:57 (-0h) "
94,?16,jpopham91 ,0.22642,51,"Wed, 15 Jul 2015 23:30:21 (-0.1h) "
95,?16,Vincent Firmansyah ,0.226467,56,"Tue, 04 Aug 2015 15:34:31 (-4d) "
96,?16,anoosh ,0.226471,22,"Wed, 05 Aug 2015 21:20:11 (-9d) "
97,?15,Adam W ,0.22653,75,"Thu, 06 Aug 2015 11:39:17 "
98,?17,Vladimir Larin ,0.226585,32,"Wed, 29 Jul 2015 13:09:57 (-3.8d) "
99,?373,Evdilos_Ikaria ,0.226843,100,"Fri, 07 Aug 2015 16:22:04 (-2.2d) "
100,new,krishna ,0.226882,10,"Tue, 04 Aug 2015 02:51:57 (-3.1h) "
101,?13,Mathn ,0.226968,25,"Tue, 04 Aug 2015 14:07:52 "
102,?19,Luis Andre Dutra e Silva ,0.226989,47,"Tue, 14 Jul 2015 02:12:53 (-24.8h) "
103,?19,JeffH ,0.227007,16,"Thu, 23 Jul 2015 22:38:16 "
104,?8,clustifier ,0.22718,33,"Wed, 05 Aug 2015 23:12:00 (-0h) "
105,?20,Invati Ram ,0.227216,60,"Thu, 06 Aug 2015 07:02:05 (-8d) "
106,?19,shail ,0.227306,7,"Sat, 25 Jul 2015 01:10:59 (-2.3d) "
107,?19,gregl ,0.227339,16,"Sun, 12 Jul 2015 13:51:00 "
108,?19,Emilio Simoni ,0.227389,59,"Fri, 07 Aug 2015 16:53:36 (-14.9d) "
109,?19,anton ,0.227513,79,"Wed, 29 Jul 2015 00:02:41 (-41.6h) "
110,?19,AghilRS ,0.227596,9,"Fri, 24 Jul 2015 04:23:37 (-12.2h) "
111,?19,Konstantina ,0.227621,25,"Sun, 26 Jul 2015 16:42:30 (-9.8d) "
